,userid,applicationid,topic_1,topic_2
32,48258406,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Child protection,child care
85,48303897,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Longitudinal study,Child protection
44,48283063,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Residential care,education
93,48303996,8df6d9e3-973e-4502-bf86-0b2efcf591bd,education,measuring outcomes
98,48304133,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Assessment,parenting
5,48202481,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Child protection,child care
54,48297060,8df6d9e3-973e-4502-bf86-0b2efcf591bd,In-home support,Legal intervention
91,48303971,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Legal intervention,Care leavers
56,48297088,8df6d9e3-973e-4502-bf86-0b2efcf591bd,aboriginal communities,education
46,48283125,8df6d9e3-973e-4502-bf86-0b2efcf591bd,child care,aboriginal communities
94,48304075,8df6d9e3-973e-4502-bf86-0b2efcf591bd,education,measuring outcomes
106,48304255,8df6d9e3-973e-4502-bf86-0b2efcf591bd,out-of-home care,parenting
66,48297231,8df6d9e3-973e-4502-bf86-0b2efcf591bd,parenting,leadership
55,48297068,8df6d9e3-973e-4502-bf86-0b2efcf591bd,education,child care
10,48239751,8df6d9e3-973e-4502-bf86-0b2efcf591bd,measuring outcomes,education
84,48303888,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Child protection,Domestic violence
23,48247182,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Policy,Adoption
4,48198119,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Residential care,leadership
30,48248308,8df6d9e3-973e-4502-bf86-0b2efcf591bd,aboriginal communities,Child protection
107,48304275,8df6d9e3-973e-4502-bf86-0b2efcf591bd,child care,out-of-home care
79,48303829,8df6d9e3-973e-4502-bf86-0b2efcf591bd,education,out-of-home care
61,48297149,8df6d9e3-973e-4502-bf86-0b2efcf591bd,measuring outcomes,Foster care
100,48304164,8df6d9e3-973e-4502-bf86-0b2efcf591bd,out-of-home care,Assessment
89,48303947,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Compliance,education
86,48303903,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Policy,leadership
59,48297131,8df6d9e3-973e-4502-bf86-0b2efcf591bd,child care,education
45,48283068,8df6d9e3-973e-4502-bf86-0b2efcf591bd,education,In-home support
49,48291641,8df6d9e3-973e-4502-bf86-0b2efcf591bd,leadership,Well-being
24,48247215,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Residential care,Child protection
12,48239795,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Child practice,Adoption
76,48303818,8df6d9e3-973e-4502-bf86-0b2efcf591bd,child care,Community care
70,48303764,8df6d9e3-973e-4502-bf86-0b2efcf591bd,education,leadership
53,48296943,8df6d9e3-973e-4502-bf86-0b2efcf591bd,leadership,education
60,48297146,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Adoption,measuring outcomes
2,48067281,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Child practice,Child protection
35,48258742,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Child protection,parenting
95,48304093,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Family practice,measuring outcomes
16,48239909,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Policy,leadership
92,48303984,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Well-being,education
71,48303786,8df6d9e3-973e-4502-bf86-0b2efcf591bd,aboriginal communities,education
104,48304208,8df6d9e3-973e-4502-bf86-0b2efcf591bd,child care,Child practice
28,48248030,8df6d9e3-973e-4502-bf86-0b2efcf591bd,education,Child protection
67,48297236,8df6d9e3-973e-4502-bf86-0b2efcf591bd,leadership,aboriginal communities
80,48303851,8df6d9e3-973e-4502-bf86-0b2efcf591bd,out-of-home care,Legal intervention
68,48297249,8df6d9e3-973e-4502-bf86-0b2efcf591bd,parenting,Community care
9,48239746,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Compliance,leadership
15,48239906,8df6d9e3-973e-4502-bf86-0b2efcf591bd,aboriginal communities,child care
29,48248033,8df6d9e3-973e-4502-bf86-0b2efcf591bd,child care,leadership
69,48297250,8df6d9e3-973e-4502-bf86-0b2efcf591bd,education,Child protection
51,48296080,8df6d9e3-973e-4502-bf86-0b2efcf591bd,leadership,measuring outcomes
3,48189993,8df6d9e3-973e-4502-bf86-0b2efcf591bd,measuring outcomes,Child protection
26,48247743,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Care leavers,parenting
82,48303860,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Community care,measuring outcomes
7,48239739,8df6d9e3-973e-4502-bf86-0b2efcf591bd,Compassion fatigue,leadership
,,,Residential care,education
,,,leadership,education
,,,Adoption,Child practice
,,,Assessment,education
,,,Child protection,aboriginal communities
,,,Family practice,Legal intervention
,,,Foster care,Community care
,,,Kinship care,leadership
,,,Policy,child care
,,,Residential care,education
,,,aboriginal communities,education services
,,,child care,Adoption
,,,education,In-home support
,,,leadership,child care
,,,measuring outcomes,Policy
,,,out-of-home care,parenting
,,,parenting,Longitudinal study
,,,rural communities,Policy
,,,In-home support,education
,,,education,In-home support
,,,out-of-home care,Community care
,,,In-home support,out-of-home care
,,,education,Child protection
,,,out-of-home care,Residential care
,,,parenting,Compliance
,,,Child practice,rural communities
,,,child care,parenting
,,,education,child care
,,,leadership,education
,,,Domestic violence,Adoption
,,,child care,Community care
,,,education,Community care
,,,child care,aboriginal communities
,,,education,out-of-home care
,,,Residential care,education
,,,education,Compliance
,,,leadership,child care
,,,Child protection,education
,,,Community care,Policy
,,,Legal intervention,out-of-home care
,,,Policy,Child neglect
,,,child care,education
,,,education,Residential care
,,,measuring outcomes,leadership
,,,out-of-home care,education
,,,Child neglect,measuring outcomes
,,,Child protection,Community care
,,,Legal intervention,leadership
,,,Policy,education
,,,Residential care,measuring outcomes
,,,child care,Child protection
,,,education,parenting
,,,leadership,measuring outcomes
,,,out-of-home care,leadership
,,,Child practice,education
,,,child care,education
,,,education,Child practice
,,,leadership,education
,,,measuring outcomes,aboriginal communities
,,,out-of-home care,Legal intervention
,,,Community care,education
,,,Residential care,leadership
,,,education,child care
,,,Compliance,Legal intervention
,,,Child practice,Kinship care
,,,Legal intervention,education
,,,child care,aboriginal communities
,,,education,leadership
,,,leadership,education
,,,In-home support,measuring outcomes
,,,education,Child protection
,,,leadership,parenting
,,,out-of-home care,measuring outcomes
,,,parenting,leadership
,,,education,leadership
,,,Child practice,education
,,,Child protection,Child practice
,,,Community care,leadership
,,,Compassion fatigue,education
,,,Compliance,measuring outcomes
,,,child care,Child protection
,,,education,parenting
,,,leadership,measuring outcomes
,,,measuring outcomes,leadership
,,,out-of-home care,education
,,,aboriginal communities,measuring outcomes
,,,child care,Child protection
,,,Care leavers,parenting
,,,Residential care,measuring outcomes
,,,aboriginal communities,leadership
,,,child care,education
,,,education,leadership
,,,measuring outcomes,Child practice
,,,child care,education
,,,education,aboriginal communities
,,,parenting,Legal intervention
,,,aboriginal communities,Community care
,,,child care,leadership
,,,education,child care
,,,leadership,education
,,,Abuse,leadership
,,,Adoption,measuring outcomes
,,,Assessment,Community care
,,,Carer support,Foster care
,,,Child protection,Child practice
,,,Compliance,Community care
,,,Domestic violence,Policy
,,,Foster care,Residential care
,,,Longitudinal study,Compliance
,,,Policy,child care
,,,child care,education
,,,education,Residential care
,,,education services,leadership
,,,leadership,Compassion fatigue
,,,measuring outcomes,education
,,,out-of-home care,child care
,,,parenting,child care
,,,Child protection,Child practice
,,,leadership,out-of-home care
,,,Assessment,Foster care
,,,Child protection,education
,,,Longitudinal study,child care
,,,child care,parenting
,,,education,Legal intervention
,,,leadership,Child protection
,,,measuring outcomes,education
,,,out-of-home care,measuring outcomes
,,,Child protection,leadership
,,,Community care,education
,,,In-home support,measuring outcomes
,,,Residential care,Child protection
,,,child care,parenting
,,,education,measuring outcomes
,,,measuring outcomes,leadership
,,,Child practice,education
,,,Community care,education
,,,Residential care,Child practice
,,,child care,education
,,,education,aboriginal communities
,,,leadership,Legal intervention
,,,parenting,Community care
,,,leadership,education
,,,measuring outcomes,child care
,,,parenting,Compliance
